Year,Total Snowfall,Snowfall Days,Average Base Depth,Max Base Depth,Biggest Snowfall
2012 - 2013,"57""",13 days,"12""","33""","11"""
2013 - 2014,"17""",1 days,"10""","33""","17"""
2014 - 2015,"56""",18 days,"28""","43""","13"""
2015 - 2016,"34""",23 days,"24""","39""","4"""
2016 - 2017,"67""",23 days,"18""","36""","10"""
2017 - 2018,"58""",20 days,"36""","75""","11"""
2018 - 2019,"48""",20 days,"35""","65""","8"""
2019 - 2020,"45""",12 days,"15""","24""","9"""
2020 - 2021,"7""",4 days,,"0""","4"""
2021 - 2022,"56""",21 days,"25""","33""","8"""
2022 - 2023,"79""",22 days,"24""","37""","13"""
2023 - 2024,"55""",24 days,"12""","22""","9"""
2024 - 2025,"34""",12 days,"11""","22""","11"""
2025 - To Date,"28""",9 days,"20""","26""","9"""
